txn_id,account_id,counterparty_id,amount,timestamp,merchant_category,device_id,ip_region,account_open_date
TX-00047,AC-1070,MR-0176,113.7,2026-03-14 07:22:11,grocery,DV-28251,OR,2024-01-06
TX-00048,AC-1122,MR-0124,106.36,2026-01-07 10:05:23,retail,DV-35074,WA,2024-01-31
TX-00049,AC-1218,MR-0086,99.39,2026-03-22 19:55:30,grocery,DV-29577,CO,2023-06-02
TX-00050,AC-0500,AC-0503,4950.06,2026-03-17 22:47:18,services,DV-28351,CO,2025-12-28
TX-00051,AC-1040,MR-0150,79.95,2026-01-21 18:32:14,retail,DV-93341,JP,2023-05-28
TX-00052,AC-1031,MR-0101,31.64,2026-03-27 20:58:49,services,DV-94296,SG,2024-08-22
TX-00053,AC-1042,MR-0055,113.32,2026-01-16 14:07:37,services,DV-21370,WA,2023-05-01
TX-00054,AC-1220,MR-0100,55.14,2026-02-17 14:00:04,fuel,DV-77473,OR,2023-09-16
TX-00055,AC-1020,MR-0078,88.39,2026-01-09 19:00:06,services,DV-71614,AZ,2024-07-18
TX-00056,AC-1040,MR-0150,106.24,2026-02-08 18:49:57,services,DV-93341,OR,2023-05-28
TX-00057,AC-1238,MR-0207,86.12,2026-02-07 11:25:14,retail,DV-18732,CO,2024-12-09
TX-00058,AC-1067,MR-0224,42.59,2026-01-24 20:09:07,services,DV-95154,TX,2024-04-21
TX-00059,AC-1058,MR-0154,81.31,2026-03-08 11:43:29,travel,DV-72174,OR,2024-07-31
TX-00060,AC-1128,MR-0018,78.76,2026-04-02 18:53:37,grocery,DV-83626,CO,2023-06-22
TX-00061,AC-1072,MR-0145,129.56,2026-02-24 11:15:27,grocery,DV-35533,TX,2023-09-12
TX-00062,AC-1263,MR-0070,21.49,2026-02-03 15:09:36,fuel,DV-48005,AZ,2023-12-04
TX-00063,AC-1126,MR-0180,109.72,2026-03-31 08:35:40,dining,DV-76547,TX,2024-04-17
TX-00064,AC-1000,MR-0205,79.35,2026-03-17 08:37:48,grocery,DV-39719,TX,2023-11-28
TX-00065,AC-1088,MR-0036,19.15,2026-03-14 10:40:07,retail,DV-70052,AZ,2024-03-04
TX-00066,AC-1053,MR-0043,103.94,2026-03-02 16:51:32,fuel,DV-70994,OR,2024-01-17
TX-00067,AC-1246,MR-0049,7255.95,2026-01-31 23:22:22,fuel,DV-45108,TX,2024-12-07
TX-00068,AC-1014,MR-0006,2.16,2026-02-06 10:51:04,fuel,DV-55812,NV,2023-03-30
TX-00069,AC-1064,MR-0224,72.39,2026-03-28 07:17:19,travel,DV-27168,CO,2024-06-28
TX-00070,AC-1201,MR-0166,94.61,2026-02-20 12:29:06,travel,DV-48725,TX,2023-04-23
TX-00071,AC-1051,MR-0108,29.38,2026-02-01 15:40:05,electronics,DV-29811,WA,2024-10-16
TX-00072,AC-0505,AC-0503,4678.64,2026-01-07 23:28:20,services,DV-21129,TX,2025-12-21
TX-00073,AC-1155,MR-0238,59.61,2026-03-03 14:26:14,fuel,DV-51416,TX,2023-08-25
TX-00074,AC-1023,MR-0025,137.09,2026-01-23 13:20:58,grocery,DV-36787,NV,2024-08-02
TX-00075,AC-1073,MR-0191,3.85,2026-01-16 16:22:25,dining,DV-37661,OR,2023-07-04
TX-00076,AC-1226,MR-0097,8.38,2026-02-13 18:27:56,travel,DV-17540,TX,2023-04-29
TX-00077,AC-0500,AC-0503,4606.27,2026-04-02 22:08:20,services,DV-28351,CO,2025-12-28
TX-00078,AC-1137,MR-0061,60.1,2026-01-24 11:57:38,travel,DV-36136,WA,2024-02-12
TX-00079,AC-1083,MR-0207,110.4,2026-01-15 12:52:09,services,DV-81349,TX,2023-10-22
TX-00080,AC-1211,MR-0104,121.21,2026-01-09 10:41:08,electronics,DV-33796,NV,2024-01-08
TX-00081,AC-1052,MR-0011,86.68,2026-01-25 12:26:32,electronics,DV-87438,NV,2023-07-12
TX-00082,AC-1057,MR-0202,55.46,2026-03-22 06:56:17,grocery,DV-88101,WA,2023-03-06
TX-00083,AC-1192,MR-0141,81.45,2026-02-28 20:45:53,dining,DV-54299,NV,2024-05-08
TX-00084,AC-1236,MR-0228,36.28,2026-02-04 14:20:23,retail,DV-89715,WA,2023-09-29
TX-00085,AC-1173,MR-0103,88.15,2026-01-19 15:54:34,retail,DV-38781,NV,2024-01-14
TX-00086,AC-1249,MR-0124,42.28,2026-02-02 18:14:35,travel,DV-15663,WA,2024-06-24
TX-00087,AC-1209,MR-0064,24.91,2026-03-09 14:57:31,travel,DV-45641,AZ,2024-07-03
TX-00088,AC-1128,MR-0042,15.36,2026-03-07 09:50:28,electronics,DV-83626,CO,2023-06-22
TX-00089,AC-1073,MR-0115,190.25,2026-02-01 18:18:09,electronics,DV-37661,OR,2023-07-04
TX-00090,AC-1262,MR-0134,143.49,2026-03-21 11:07:20,travel,DV-36983,WA,2024-05-29
TX-00091,AC-1251,MR-0062,53.38,2026-04-02 09:57:38,retail,DV-41252,AZ,2024-10-20
TX-00092,AC-1135,MR-0137,18.76,2026-03-05 15:22:03,grocery,DV-89447,TX,2023-05-13
TX-00093,AC-1111,MR-0044,60.81,2026-02-20 17:33:11,electronics,DV-18094,CO,2024-12-14
TX-00094,AC-1016,MR-0215,135.08,2026-03-04 11:32:34,electronics,DV-20556,AZ,2024-03-04
TX-00095,AC-1268,MR-0003,59.15,2026-02-01 18:15:43,services,DV-45457,OR,2023-09-03
TX-00096,AC-1055,MR-0051,211.03,2026-02-15 23:16:39,fuel,DV-29159,AZ,2024-07-14
TX-00097,AC-1254,MR-0051,40.4,2026-02-20 10:59:32,travel,DV-44327,WA,2023-09-25
TX-00098,AC-1060,MR-0135,106.46,2026-01-30 19:21:03,fuel,DV-55928,TX,2024-09-25
TX-00099,AC-1005,MR-0162,141.06,2026-01-15 18:19:20,fuel,DV-13798,NV,2023-03-16
TX-00100,AC-1010,MR-0143,95.37,2026-03-18 13:54:30,electronics,DV-35381,AZ,2023-03-01
TX-00101,AC-1127,MR-0155,50.35,2026-01-15 09:33:05,grocery,DV-69267,NV,2023-12-30
TX-00102,AC-1068,MR-0212,57.76,2026-03-02 18:07:53,retail,DV-23470,OR,2024-08-22
TX-00103,AC-1207,MR-0031,163.64,2026-01-16 10:00:26,services,DV-21018,WA,2024-08-03
TX-00104,AC-1183,MR-0056,61.53,2026-01-06 16:04:41,grocery,DV-62928,CO,2023-02-25
TX-00105,AC-1077,MR-0168,142.32,2026-01-07 12:59:02,fuel,DV-48399,OR,2024-08-11
TX-00106,AC-1049,MR-0048,117.77,2026-02-05 17:06:50,dining,DV-26651,OR,2024-08-18
TX-00107,AC-1139,MR-0200,65.89,2026-03-11 15:52:21,electronics,DV-69289,OR,2024-05-23
TX-00108,AC-1224,MR-0181,109.07,2026-02-17 16:03:22,fuel,DV-21725,DE,2024-04-30
TX-00109,AC-1239,MR-0010,69.29,2026-02-26 13:34:14,fuel,DV-44662,OR,2023-06-15
TX-00110,AC-1022,MR-0132,21.61,2026-03-19 12:47:36,travel,DV-54267,OR,2023-03-02
TX-00111,AC-1180,MR-0232,183.34,2026-01-22 12:32:29,grocery,DV-31163,NV,2024-09-24
TX-00112,AC-1130,MR-0207,81.96,2026-03-20 16:20:15,electronics,DV-18305,NV,2023-04-30
TX-00113,AC-1127,MR-0132,175.48,2026-01-14 19:18:36,fuel,DV-69267,NV,2023-12-30
TX-00114,AC-1063,MR-0120,2.66,2026-01-16 14:07:03,retail,DV-81864,OR,2024-11-27
TX-00115,AC-1101,MR-0220,54.85,2026-02-02 17:07:02,electronics,DV-34000,NV,2024-12-12
TX-00116,AC-0500,AC-0503,4533.68,2026-01-24 22:54:47,services,DV-28351,CO,2025-12-28
TX-00117,AC-1017,MR-0094,43.29,2026-01-17 14:36:56,services,DV-38896,NV,2023-03-13
TX-00118,AC-1056,MR-0177,107.87,2026-03-05 10:43:01,services,DV-90160,WA,2024-12-30
TX-00119,AC-1224,MR-0054,21.34,2026-02-08 14:55:52,retail,DV-21725,OR,2024-04-30
TX-00120,AC-1136,MR-0193,105.15,2026-01-05 16:31:44,retail,DV-77130,TX,2023-09-11
TX-00121,AC-1215,MR-0017,8.57,2026-01-12 13:25:08,services,DV-98601,AZ,2023-08-01
TX-00122,AC-0502,AC-0505,4660.51,2026-02-18 22:14:49,services,DV-29954,AZ,2025-12-27
TX-00123,AC-1049,MR-0157,201.1,2026-02-19 14:38:56,grocery,DV-26651,OR,2024-08-18
TX-00124,AC-1167,MR-0077,39.85,2026-03-28 12:31:52,services,DV-96541,TX,2023-09-27
TX-00125,AC-1237,MR-0220,68.16,2026-03-05 15:20:19,travel,DV-39151,NV,2024-05-05
TX-00126,AC-1043,MR-0140,78.81,2026-01-29 14:06:08,fuel,DV-61883,TX,2024-08-07
TX-00127,AC-1155,MR-0136,17.47,2026-01-18 15:23:00,services,DV-51416,TX,2023-08-25
TX-00128,AC-1026,MR-0004,36.26,2026-03-28 10:25:46,dining,DV-89988,OR,2024-10-07
TX-00129,AC-1262,MR-0216,119.14,2026-02-17 18:35:56,electronics,DV-36983,WA,2024-05-29
TX-00130,AC-1157,MR-0154,163.76,2026-02-18 13:04:05,grocery,DV-97969,CO,2023-03-26
TX-00131,AC-1029,MR-0010,79.99,2026-01-07 14:37:38,grocery,DV-95587,NV,2023-03-05
TX-00132,AC-0501,AC-0504,4607.19,2026-02-19 22:31:22,services,DV-83861,CO,2025-12-21
TX-00133,AC-1001,MR-0034,60.18,2026-02-23 11:07:27,grocery,DV-36203,OR,2023-06-04
TX-00134,AC-1163,MR-0096,109.03,2026-02-01 14:43:55,dining,DV-49685,NV,2023-01-13
TX-00135,AC-1221,MR-0230,32.83,2026-01-29 13:26:37,fuel,DV-84789,TX,2023-12-22
TX-00136,AC-1083,MR-0021,78.49,2026-03-07 10:33:51,grocery,DV-81349,TX,2023-10-22
TX-00137,AC-1220,MR-0049,91.12,2026-03-03 09:47:15,services,DV-77473,OR,2023-09-16
TX-00138,AC-1002,MR-0078,125.02,2026-03-26 12:34:09,services,DV-77847,TX,2024-02-09
TX-00139,AC-1243,MR-0102,104.22,2026-03-26 17:58:26,retail,DV-54453,NV,2024-06-24
TX-00140,AC-1139,MR-0179,107.77,2026-02-19 19:37:56,travel,DV-69289,OR,2024-05-23
TX-00141,AC-1246,MR-0066,75.78,2026-02-23 14:57:29,dining,DV-45108,TX,2024-12-07
TX-00142,AC-1163,MR-0234,70.76,2026-02-26 07:55:55,retail,DV-49685,NV,2023-01-13
TX-00143,AC-1043,MR-0046,38.56,2026-01-14 11:40:15,grocery,DV-61883,SG,2024-08-07
TX-00144,AC-1116,MR-0132,102.15,2026-02-17 16:51:43,travel,DV-82802,CO,2023-11-14
TX-00145,AC-1111,MR-0011,13.43,2026-01-16 16:09:34,services,DV-18094,CO,2024-12-14
TX-00146,AC-1221,MR-0219,89.64,2026-01-07 21:56:40,electronics,DV-84789,TX,2023-12-22
TX-00147,AC-1250,MR-0002,62.31,2026-01-07 13:27:33,retail,DV-79063,AZ,2023-11-02
TX-00148,AC-1153,MR-0130,141.28,2026-01-25 12:16:04,fuel,DV-61427,TX,2024-11-30
TX-00149,AC-1161,MR-0240,3.69,2026-02-21 06:06:25,services,DV-37877,CO,2024-11-05
TX-00150,AC-1250,MR-0117,84.92,2026-02-04 09:52:07,grocery,DV-79063,AZ,2023-11-02
TX-00151,AC-1157,MR-0052,5.27,2026-03-15 17:21:00,travel,DV-97969,CO,2023-03-26
TX-00152,AC-1148,MR-0198,44.94,2026-02-07 15:33:30,travel,DV-36553,CO,2024-07-17
TX-00153,AC-1250,MR-0214,96.99,2026-02-18 11:44:07,electronics,DV-79063,AZ,2023-11-02
TX-00154,AC-1098,MR-0231,142.84,2026-04-02 23:16:47,grocery,DV-76918,CO,2024-08-09
TX-00155,AC-0500,AC-0503,4264.67,2026-03-15 23:48:43,services,DV-28351,CO,2025-12-28
TX-00156,AC-1186,MR-0121,53.43,2026-03-02 08:24:30,grocery,DV-35656,WA,2024-07-26
TX-00157,AC-1120,MR-0053,13.44,2026-01-15 21:38:05,services,DV-17447,NV,2024-04-01
TX-00158,AC-1055,MR-0235,143.36,2026-03-06 08:32:57,electronics,DV-29159,AZ,2024-07-14
TX-00159,AC-1161,MR-0203,112.73,2026-01-20 11:50:19,electronics,DV-37877,CO,2024-11-05
TX-00160,AC-1186,MR-0230,32.32,2026-02-28 13:41:05,fuel,DV-35656,WA,2024-07-26
TX-00161,AC-1031,MR-0128,17.07,2026-01-10 07:21:32,fuel,DV-94296,WA,2024-08-22
TX-00162,AC-1147,MR-0141,139.11,2026-01-20 17:21:23,fuel,DV-83336,NV,2024-03-16
TX-00163,AC-0500,AC-0503,4327.94,2026-02-10 22:15:37,services,DV-28351,CO,2025-12-28
TX-00164,AC-1064,MR-0180,80.49,2026-03-22 10:43:45,dining,DV-27168,CO,2024-06-28
TX-00165,AC-0501,AC-0504,4267.16,2026-03-24 23:02:18,services,DV-83861,CO,2025-12-21
TX-00166,AC-1054,MR-0079,19.91,2026-03-15 16:59:48,retail,DV-95964,TX,2023-04-10
TX-00167,AC-1132,MR-0234,32.62,2026-01-27 12:29:08,electronics,DV-52678,NV,2023-03-02
TX-00168,AC-1148,MR-0232,104.99,2026-01-28 15:44:59,services,DV-36553,CO,2024-07-17
TX-00169,AC-0502,AC-0505,4299.59,2026-04-04 22:56:53,services,DV-29954,AZ,2025-12-27
TX-00170,AC-1224,MR-0066,83.45,2026-01-20 14:52:00,dining,DV-21725,OR,2024-04-30
TX-00171,AC-1137,MR-0188,98.23,2026-03-29 15:59:25,travel,DV-36136,WA,2024-02-12
TX-00172,AC-1013,MR-0059,15.24,2026-01-10 18:12:39,services,DV-68619,TX,2023-02-08
TX-00173,AC-1004,MR-0083,113.82,2026-02-28 12:02:35,travel,DV-56604,DE,2023-02-19
TX-00174,AC-1219,MR-0029,52.63,2026-03-11 12:06:32,retail,DV-80333,WA,2024-10-11
TX-00175,AC-1226,MR-0147,125.86,2026-01-23 10:43:23,services,DV-17540,TX,2023-04-29
TX-00176,AC-1215,MR-0037,190.89,2026-02-25 09:10:02,services,DV-98601,AZ,2023-08-01
TX-00177,AC-1191,MR-0095,18.14,2026-03-09 21:48:06,dining,DV-12553,OR,2023-04-17
TX-00178,AC-1085,MR-0025,7151.75,2026-03-01 10:30:12,electronics,DV-27180,OR,2023-03-16
TX-00179,AC-1212,MR-0128,151.19,2026-01-15 11:37:44,dining,DV-45447,CO,2024-09-20
TX-00180,AC-1142,MR-0002,173.62,2026-02-03 12:35:46,dining,DV-72657,AZ,2024-04-04
TX-00181,AC-1036,MR-0043,111.41,2026-01-10 14:51:55,travel,DV-36125,TX,2024-07-24
TX-00182,AC-1166,MR-0193,40.15,2026-01-24 17:45:35,electronics,DV-94339,SG,2023-07-06
TX-00183,AC-1172,MR-0222,99.83,2026-01-26 15:54:06,travel,DV-71307,WA,2024-07-01
TX-00184,AC-1183,MR-0043,83.56,2026-02-12 20:31:04,services,DV-62928,DE,2023-02-25
TX-00185,AC-1166,MR-0056,156.5,2026-01-31 14:32:17,dining,DV-94339,OR,2023-07-06
TX-00186,AC-1225,MR-0221,3.52,2026-01-27 08:25:05,grocery,DV-46577,AZ,2023-05-06
TX-00187,AC-1094,MR-0008,118.16,2026-01-15 09:51:31,grocery,DV-27139,OR,2023-02-10
TX-00188,AC-1000,MR-0207,45.19,2026-03-17 15:35:24,fuel,DV-39719,TX,2023-11-28
TX-00189,AC-1113,MR-0168,100.69,2026-02-16 13:33:49,dining,DV-99434,WA,2023-03-08
TX-00190,AC-1237,MR-0168,85.37,2026-01-28 11:48:04,fuel,DV-39151,NV,2024-05-05
TX-00191,AC-1110,MR-0220,66.55,2026-02-12 21:03:33,services,DV-82938,NV,2024-04-30
TX-00192,AC-1016,MR-0069,14.05,2026-01-11 08:22:11,fuel,DV-20556,AZ,2024-03-04
TX-00193,AC-1172,MR-0176,215.22,2026-03-19 16:19:37,dining,DV-71307,WA,2024-07-01
TX-00194,AC-0502,AC-0505,4333.54,2026-03-03 23:12:30,services,DV-29954,AZ,2025-12-27
TX-00195,AC-1137,MR-0006,137.15,2026-03-03 06:07:10,fuel,DV-36136,WA,2024-02-12
TX-00196,AC-1111,MR-0047,78.74,2026-02-02 17:53:00,grocery,DV-18094,CO,2024-12-14
TX-00197,AC-1144,MR-0058,123.92,2026-03-25 12:04:23,travel,DV-42460,TX,2024-07-16
TX-00198,AC-1063,MR-0135,84.26,2026-02-05 18:22:52,dining,DV-81864,OR,2024-11-27
TX-00199,AC-1089,MR-0063,45.53,2026-03-03 13:45:49,retail,DV-96831,CO,2023-06-18
TX-00200,AC-1040,MR-0087,117.85,2026-01-21 14:31:30,electronics,DV-93341,OR,2023-05-28
TX-00201,AC-1001,MR-0014,72.38,2026-01-29 19:58:14,services,DV-36203,OR,2023-06-04
TX-00202,AC-1241,MR-0183,97.09,2026-02-04 22:56:12,grocery,DV-69477,WA,2023-01-24
TX-00203,AC-1116,MR-0128,149.86,2026-01-29 13:03:27,services,DV-82802,CO,2023-11-14
TX-00204,AC-1198,MR-0004,20.5,2026-03-16 12:39:51,dining,DV-53450,WA,2023-08-02
TX-00205,AC-1151,MR-0183,184.65,2026-03-11 14:03:36,travel,DV-64609,AZ,2024-03-01
TX-00206,AC-1190,MR-0117,157.05,2026-01-30 22:19:38,dining,DV-57966,OR,2024-02-08
TX-00207,AC-1177,MR-0182,73.06,2026-02-24 13:51:55,dining,DV-31337,AZ,2023-05-09
TX-00208,AC-1253,MR-0219,72.19,2026-01-13 13:07:18,grocery,DV-31161,TX,2024-12-13
TX-00209,AC-1099,MR-0086,86.03,2026-03-12 09:38:48,grocery,DV-12451,CO,2023-11-18
TX-00210,AC-1207,MR-0189,104.34,2026-03-24 20:32:28,electronics,DV-21018,WA,2024-08-03
TX-00211,AC-0500,AC-0503,4716.0,2026-01-10 22:53:20,services,DV-28351,CO,2025-12-28
TX-00212,AC-1055,MR-0065,55.07,2026-04-02 13:04:56,fuel,DV-29159,AZ,2024-07-14
TX-00213,AC-1251,MR-0106,36.63,2026-03-02 11:35:24,fuel,DV-41252,AZ,2024-10-20
TX-00214,AC-1263,MR-0107,16.49,2026-01-22 19:00:37,retail,DV-48005,AZ,2023-12-04
TX-00215,AC-1013,MR-0167,103.9,2026-02-01 09:20:22,dining,DV-68619,TX,2023-02-08
TX-00216,AC-1110,MR-0145,39.26,2026-02-06 16:30:43,fuel,DV-82938,NV,2024-04-30
TX-00217,AC-1048,MR-0125,6.07,2026-01-15 18:24:54,dining,DV-32282,NV,2023-04-16
TX-00218,AC-1023,MR-0095,158.74,2026-02-19 09:27:57,grocery,DV-36787,NV,2024-08-02
TX-00219,AC-1130,MR-0017,42.61,2026-01-23 15:56:56,dining,DV-18305,NV,2023-04-30
TX-00220,AC-1002,MR-0082,102.09,2026-03-04 18:39:26,fuel,DV-77847,TX,2024-02-09
TX-00221,AC-1054,MR-0011,106.09,2026-03-11 12:43:21,electronics,DV-95964,TX,2023-04-10
TX-00222,AC-0502,AC-0505,4364.16,2026-02-04 23:16:58,services,DV-29954,AZ,2025-12-27
TX-00223,AC-1197,MR-0220,87.18,2026-04-01 09:26:20,services,DV-60376,CO,2023-03-10
TX-00224,AC-1184,MR-0174,46.02,2026-01-07 10:44:50,grocery,DV-54448,NV,2024-04-12
TX-00225,AC-1070,MR-0210,186.3,2026-03-23 08:16:12,electronics,DV-28251,OR,2024-01-06
TX-00226,AC-1060,MR-0108,73.53,2026-02-18 14:40:58,services,DV-55928,TX,2024-09-25
TX-00227,AC-1174,MR-0066,97.52,2026-03-08 13:16:30,services,DV-22337,NV,2024-09-16
TX-00228,AC-1250,MR-0196,127.1,2026-02-28 23:16:35,retail,DV-79063,AZ,2023-11-02
TX-00229,AC-1228,MR-0008,68.11,2026-02-19 21:09:50,travel,DV-65747,AZ,2024-04-22
TX-00230,AC-1064,MR-0130,58.49,2026-03-12 06:13:38,services,DV-27168,CO,2024-06-28
TX-00231,AC-1034,MR-0189,185.18,2026-01-24 16:52:51,fuel,DV-25716,TX,2023-08-15
TX-00232,AC-1024,MR-0049,61.56,2026-03-18 20:07:46,services,DV-73262,WA,2023-05-07
TX-00233,AC-1204,MR-0234,126.17,2026-01-12 10:03:28,dining,DV-24791,NV,2023-02-23
TX-00234,AC-1083,MR-0114,108.0,2026-03-02 13:31:04,services,DV-81349,TX,2023-10-22
TX-00235,AC-1243,MR-0194,124.3,2026-03-04 13:51:12,services,DV-54453,NV,2024-06-24
TX-00236,AC-1057,MR-0057,101.72,2026-02-25 11:42:51,dining,DV-88101,WA,2023-03-06
TX-00237,AC-1031,MR-0230,117.97,2026-02-24 11:54:03,travel,DV-94296,WA,2024-08-22
TX-00238,AC-1090,MR-0101,63.55,2026-01-23 12:02:48,electronics,DV-86460,SG,2023-12-17
TX-00239,AC-1018,MR-0212,109.55,2026-01-11 10:34:41,dining,DV-23389,AZ,2023-09-04
TX-00240,AC-1113,MR-0072,17.22,2026-02-16 13:59:58,fuel,DV-99434,WA,2023-03-08
TX-00241,AC-1039,MR-0115,42.26,2026-03-04 13:56:01,travel,DV-66875,NV,2024-03-05
TX-00242,AC-1201,MR-0079,81.85,2026-03-04 14:12:04,retail,DV-48725,TX,2023-04-23
TX-00243,AC-0501,AC-0504,4899.14,2026-01-26 23:33:02,services,DV-83861,CO,2025-12-21
TX-00244,AC-1200,MR-0135,189.41,2026-01-28 14:29:36,services,DV-91779,AZ,2023-06-16
TX-00245,AC-1130,MR-0213,12.37,2026-02-21 19:41:26,dining,DV-18305,DE,2023-04-30
TX-00246,AC-1200,MR-0100,113.08,2026-01-16 20:48:05,retail,DV-91779,AZ,2023-06-16
TX-00247,AC-1233,MR-0063,46.11,2026-03-18 16:07:34,fuel,DV-21608,TX,2023-05-28
TX-00248,AC-1070,MR-0223,80.65,2026-01-22 16:00:34,services,DV-28251,OR,2024-01-06
TX-00249,AC-1121,MR-0102,47.4,2026-03-23 15:27:36,services,DV-42570,CO,2023-10-19
TX-00250,AC-1115,MR-0199,53.51,2026-02-01 17:37:47,dining,DV-79563,NV,2024-12-19
TX-00251,AC-1005,MR-0118,78.56,2026-03-24 10:25:46,dining,DV-13798,NV,2023-03-16
TX-00252,AC-1073,MR-0011,4.19,2026-03-10 06:19:54,dining,DV-37661,OR,2023-07-04
TX-00253,AC-1179,MR-0064,196.68,2026-03-20 11:39:51,retail,DV-39322,AZ,2024-06-11
TX-00254,AC-1217,MR-0129,140.01,2026-03-18 17:31:37,travel,DV-63208,TX,2024-01-21
TX-00255,AC-1112,MR-0212,141.39,2026-01-17 11:32:49,services,DV-52727,NV,2024-11-11
